Predictions,HTeam Name,LTeam Name
0.7767118811607361,air-force,abilene-christian
0.8709713816642761,akron,abilene-christian
0.9928591251373291,alabama,abilene-christian
0.24698378145694733,alabama-am,abilene-christian
0.19632792472839355,alabama-state,abilene-christian
0.20760397613048553,suny albany,abilene-christian
0.6204801797866821,alcorn-state,abilene-christian
0.3837954103946686,american-university,abilene-christian
0.7223538160324097,appalachian-state,abilene-christian
0.9870787858963013,arizona,abilene-christian
0.9746362566947937,arizona-state,abilene-christian
0.1958332508802414,ualr,abilene-christian
0.23704294860363007,arkansas-pine-bluff,abilene-christian
0.976266622543335,arkansas,abilene-christian
0.4147043228149414,arkansas-state,abilene-christian
0.31083807349205017,army-west-point,abilene-christian
0.9787394404411316,auburn,abilene-christian
0.3136557936668396,austin-peay,abilene-christian
0.7416647672653198,ball-state,abilene-christian
0.9889805912971497,baylor,abilene-christian
0.8503786325454712,belmont,abilene-christian
0.18247917294502258,bethune-cookman,abilene-christian
0.34925761818885803,binghamton,abilene-christian
0.9765180349349976,boise-state,abilene-christian
0.8435521721839905,boston-college,abilene-christian
0.3639223873615265,boston-university,abilene-christian
0.3436129093170166,bowling-green-state,abilene-christian
0.9239346385002136,bradley,abilene-christian
0.6918287873268127,brown,abilene-christian
0.5930663347244263,bryant university,abilene-christian
0.20758990943431854,bucknell,abilene-christian
0.738041341304779,buffalo,abilene-christian
0.9349779486656189,butler,abilene-christian
0.9262209534645081,byu,abilene-christian
0.3447837233543396,central-michigan,abilene-christian
0.387937068939209,cal-poly,abilene-christian
0.5084352493286133,university of california,abilene-christian
0.4799688160419464,campbell,abilene-christian
0.4169231355190277,canisius,abilene-christian
0.3350541293621063,central-arkansas,abilene-christian
0.09564684331417084,central-connecticut-state,abilene-christian
0.2862233519554138,charleston-southern,abilene-christian
0.7966347932815552,north-carolina-charlotte,abilene-christian
0.6256657242774963,tennessee-chattanooga,abilene-christian
0.4682576656341553,chicago-state,abilene-christian
0.9500963687896729,cincinnati,abilene-christian
0.31133130192756653,the-citadel,abilene-christian
